_id,NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
35,35,サザンビーチホテル,サザンビーチホテル,沖縄県糸満市西崎1-6-1,,26.132652,127.651337,,,,472107,沖縄県,糸満市,,,,,1,,,,,"3,428",,,
36,36,沖縄県立糸満高校,オキナワケンリツイトマンコウコウ,沖縄県糸満市糸満1696-1,,26.128204,127.676521,,,,472107,沖縄県,糸満市,,,,,1,,,,,"1,435",,,
37,37,すこやか館,スコヤカカン,沖縄県糸満市西崎6-4-8,,26.142677,127.670441,,,,472107,沖縄県,糸満市,,,,,1,,,,,85,,,
38,38,国道331号糸満高架橋,コクドウ331ゴウイトマンコウカキョウ,沖縄県糸満市糸満市西崎1,,26.128822,127.670143,,,,472107,沖縄県,糸満市,,,,,1,,,,,"1,560",,,
39,39,稲嶺原市営住宅A棟,イナミネバルシエイジュウタクAトウ,沖縄県糸満市糸満1736,,26.126904,127.679138,,,,472107,沖縄県,糸満市,,,,,1,,,,,699,,,
40,40,琉球ガラス村駐車場,リュウキュウガラスムラチュウシャジョウ,沖縄県糸満市福地169,,26.097441,127.677391,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"2,030",,,
41,41,優美堂駐車場,ユウビドウチュウシャジョウ,沖縄県糸満市伊原372-2,,26.09528,127.690277,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"3,765",,,
42,42,ひめゆり観光センターでいご駐車場,ヒメユリカンコウセンターデイゴチュウシャジョウ,沖縄県糸満市米須1056,,26.09656,127.692879,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"2,922",,,
43,43,ひめゆり会館駐車場,ヒメユリカイカンチュウシャジョウ,沖縄県糸満市伊原734,,26.096638,127.688454,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"4,181",,,
44,44,平和創造の森公園多目的広場,ヘイワソウゾウノモリコウエンタモクテキヒロバ,沖縄県糸満市山城449,,26.086124,127.686211,,,,472107,沖縄県,糸満市,1,1,1,1,1,1,1,,,"7,832",,,
1,101,大宜味村役場,オオギミソンヤクバ,大宜味村字大兼久157番地,,26.70161,128.120542,,(0980)44-3001,,473022,沖縄県,大宜味村,1,1,1,1,1,,,,1,138,大宜味村全域,,
2,102,田嘉里公民館,タカザトコウミンカン,大宜味村字田嘉里472番地,,26.711593,128.163092,,(0980)44-3026,,473022,沖縄県,大宜味村,,1,1,,,,,,,75,田嘉里区,,
3,103,謝名城公民館,ジャナグスクコウミンカン,大宜味村字謝名城36番地,,26.710213,128.155957,,(0980)44-3030,,473022,沖縄県,大宜味村,,,1,,1,,,,,32,謝名城区区,,
4,104,喜如嘉公民館,キジョカコウミンカン,大宜味村字喜如嘉777番地1,,26.706331,128.144681,,(0980)44-3809,,473022,沖縄県,大宜味村,,1,1,,,,,,,100,喜如嘉区,,
5,105,大宜味村農村環境改善センター,オオギミソンノウソンカンキョウカイゼンセンター,大宜味村字喜如嘉320番地,,26.707827,128.143673,,(0980)44-3672,,473022,沖縄県,大宜味村,,1,1,,,,,,,142,喜如嘉住区または、喜如嘉住区,,
6,106,饒波公民館,ヌウハコウミンカン,大宜味村字饒波22番地,,26.697302,128.131152,,(0980)44-3001,,473022,沖縄県,大宜味村,,,1,,,,,,,15,饒波区,,
7,107,大兼久公民館,オオガネクコウミンカン,大宜味村字大兼久30番地,,26.701974,128.121872,,(0980)44-3001,,473022,沖縄県,大宜味村,,,1,,,,,,,21,大兼久区,,
8,108,大宜味公民館,オオギミコウミンカン,大宜味村字大宜味189番地,,26.701635,128.117173,,(0980)44-3001,,473022,沖縄県,大宜味村,,1,1,,,,,,,34,大宜味区,,
9,109,根路銘公民館,ネロメコウミンカン,大宜味村字根路銘61番地,,26.695201,128.113697,,(0980)44-3001,,473022,沖縄県,大宜味村,,,1,,,,,,,29,根路銘区,,
10,110,上原公民館,ウエバルコウミンカン,大宜味村字上原193番地,,26.687,128.113396,,(0980)44-3001,,473022,沖縄県,大宜味村,,1,1,,1,,,,,26,上原区または、近隣行政区,,
11,111,塩屋公民館,シオヤコウミンカン,大宜味村字塩屋371番地2,,26.672559,128.10756,,(0980)44-2453,,473022,沖縄県,大宜味村,,1,1,,,,,,,43,塩屋区,,
12,112,屋古公民館,ヤココウミンカン,大宜味村字屋古17番地,,26.672867,128.11492,,(0980)44-3001,,473022,沖縄県,大宜味村,,1,1,,,,,,,29,屋古区,,
13,113,田港公民館,タミナトコウミンカン,大宜味村字田港80番地,,26.668352,128.121647,,(0980)44-3001,,473022,沖縄県,大宜味村,,,,,,,,,,13,田港区,,
14,114,押川公民館,オシカワコウミンカン,大宜味村字押川156番地,,26.672743,128.132311,,(0980)44-3001,,473022,沖縄県,大宜味村,,1,1,,1,,,,,19,押川区または、近隣行政区,,
15,115,大保公民館,タイホコウミンカン,大宜味村字大保1番地17,,26.658217,128.125552,,(0980)44-3001,,473022,沖縄県,大宜味村,,1,,,,,,,,30,大保区,,
16,116,白浜公民館,シラハマコウミンカン,大宜味村字白浜146番地,,26.662388,128.10815,,(0980)44-3001,,473022,沖縄県,大宜味村,,1,,,,,,,,16,白浜区,,
17,117,宮城公民館,ミヤギコウミンカン,大宜味村字宮城10番地,,26.665225,128.103429,,(0980)44-3001,,473022,沖縄県,大宜味村,,1,,,,,,,,22,宮城区,,
18,118,江洲公民館,エスコウミンカン,大宜味村字白浜442番地,,26.637284,128.120939,,(0980)44-3001,,473022,沖縄県,大宜味村,,1,1,,1,,,,,43,白浜区,,
19,119,津波公民館,ツハコウミンカン,大宜味村字津波620番地,,26.657815,128.094256,,(0980)44-2518,,473022,沖縄県,大宜味村,,,,,,,,,,33,津波区,,
1,1,防災支援センター,ボウサイシエンセンター,沖縄県渡名喜村445,,26.37211,127.141121,,,,473561,沖縄県,渡名喜村,1,,1,1,1,1,,,,50,,,
2,2,多目的拠点施設,タモクテキキョテンシセツ,沖縄県渡名喜村1860,,26.37211,127.141121,,(098)989-2068,,473561,沖縄県,渡名喜村,,,,,,,,,,45,,,
3,3,渡名喜幼・小中学校,トナキヨウ・ショウチュウガッコウ,沖縄県渡名喜村639,,26.37211,127.141121,,(098)989-2005,,473561,沖縄県,渡名喜村,,,1,,1,,,,,120,,,
1,1,渡慶次公民館,トケシコウミンカン,沖縄県中頭郡読谷村字渡慶次180,,26.420629,127.72655,44,098-958-4922,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
2,2,渡慶次小学校,トケシショウガッコウ,沖縄県中頭郡読谷村字瀬名波510,,26.418448,127.729042,67,098-958-2503,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
3,3,儀間公民館,ギマコウミンカン,沖縄県中頭郡読谷村字長浜1409,,26.416107,127.729187,50,098-958-3002,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
4,4,瀬名波公民館,セナハコウミンカン,沖縄県中頭郡読谷村字瀬名波138,,26.420635,127.731367,63,098-958-2594,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
5,5,宇座公民館,ウザコウミンカン,沖縄県中頭郡読谷村字長浜1840-2,,26.412586,127.732779,82,098-958-2231,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
6,6,高志保公民館,タカシホコウミンカン,沖縄県中頭郡読谷村字高志保260,,26.40932,127.733444,78,098-958-4455,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
7,7,読谷村立図書館,ヨミタンソンリツトショカン,沖縄県中頭郡読谷村字波平37,,26.406598,127.733434,90,098-958-3113,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
8,8,読谷保育所,ヨミタンホイクジョ,沖縄県中頭郡読谷村字高志保1406,,26.407584,127.733705,86,098-958-3024,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
9,9,波平公民館,ナミヒラコウミンカン,沖縄県中頭郡読谷村字波平61,,26.405725,127.733944,91,098-958-2229,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
10,10,読谷小学校,ヨミタンショウガッコウ,沖縄県中頭郡読谷村字高志保1277-1,,26.40711,127.732674,80,098-958-2403,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
11,11,読谷中学校,ヨミタンチュウガッコウ,沖縄県中頭郡読谷村字座喜味2976-2,,26.396266,127.741291,73,098-958-2303,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
12,12,読谷村生き活き健康センター,ヨミタンソンイキイキケンコウセンター,沖縄県中頭郡読谷村字都屋167-2,,26.394014,127.725803,30,098-957-3366,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
13,13,世界遺産座喜味城跡ユンタンザミュージアム,セカイイサンザキミジョウシユンタンザミュージアム,沖縄県中頭郡読谷村字座喜味708-4,,26.406944,127.742392,96,098-958-2254,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
14,14,座喜味公民館,ザキミコウミンカン,沖縄県中頭郡読谷村字座喜味154,,26.404577,127.744134,82,098-958-2228,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
15,15,喜名公民館,キナコウミンカン,沖縄県中頭郡読谷村字喜名2207,,26.399025,127.756714,66,098-958-2236,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
16,16,喜名小学校,キナショウガッコウ,沖縄県中頭郡読谷村字喜名401,,26.400985,127.756577,69,098-958-2405,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
17,17,読谷村南保育所,ヨミタンソンミナミホイクジョ,沖縄県中頭郡読谷村字楚辺1030-1,,26.381963,127.742495,37,098-956-4179,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
18,18,伊良皆公民館,イラミナコウミンカン,沖縄県中頭郡読谷村字伊良皆177-3,,26.384693,127.75388,41,098-956-2235,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
19,19,古堅中学校,フルゲンチュウガッコウ,沖縄県中頭郡読谷村字伊良皆297,,26.380687,127.752654,32,098-956-2221,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
20,20,古堅小学校,フルゲンショウガッコウ,沖縄県中頭郡読谷村字楚辺999-1,,26.381415,127.741825,31,098-956-2158,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
21,21,大木公民館,オオキコウミンカン,沖縄県中頭郡読谷村字大木294,,26.380786,127.746253,30,098-956-2020,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
22,22,牧原公民館,マキバルコウミンカン,沖縄県中頭郡読谷村字比謝315-4,,26.380301,127.751373,30,098-956-2328,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
23,23,比謝公民館,ヒジャコウミンカン,沖縄県中頭郡読谷村字比謝26,,26.374719,127.754286,21,098-956-2234,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
24,24,古堅公民館,フルゲンコウミンカン,沖縄県中頭郡読谷村字古堅75-3,,26.369468,127.750441,22,098-956-2238,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
25,25,古堅南小学校,フルゲンミナミショウガッコウ,沖縄県中頭郡読谷村字古堅612-1,,26.371069,127.747977,20,098-956-1129,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
26,26,読谷村体育センター,ヨミタンソンタイイクセンター,沖縄県中頭郡読谷村字座喜味2975,,26.399047,127.742454,70,098-982-9231,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
27,27,読谷村地域振興センター,ヨミタンソンチイキシンコウセンター,沖縄県中頭郡読谷村字喜名2346-11,,26.392917,127.746083,73,098-958-7240,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定避難所
28,28,読谷村健康増進センター,ヨミタンソンケンコウゾウシンセンター,沖縄県中頭郡読谷村字座喜味2901,,26.395778,127.746448,71,098-982-9100,,47324,沖縄県,読谷村,,,,,,,,,,,,,福祉避難所
29,29,読谷村老人福祉センター,ヨミタンソンロウジンフクシセンター,沖縄県中頭郡読谷村字座喜味1976,,26.395326,127.730205,71,098-921-5006,,47324,沖縄県,読谷村,,,,,,,,,,,,,福祉避難所
30,30,みらい児童館,ミライジドウカン,沖縄県中頭郡読谷村字古堅867-2,,26.370707,127.749553,20,098-921-5102,,47324,沖縄県,読谷村,,,,,,,,,,,,,福祉避難所
31,31,社会福祉法人沖縄県福祉事業団よみたん救護園,シャカイフクシホウジンオキナワケンフクシジギョウダンヨミタンキュウゴエン,沖縄県中頭郡読谷村字都屋167,,26.393978,127.724391,26,098-956-4111,,47324,沖縄県,読谷村,,,,,,,,,,,,,福祉避難所
32,32,カサブランカ　スカイ,カサブランカ　スカイ,沖縄県中頭郡読谷村字古堅767-1,,26.367785,127.742704,17,,,47324,沖縄県,読谷村,,,,,1,,,,,,,,津波時指定避難ビル
33,33,カサブランカ　イースト,カサブランカ　イースト,沖縄県中頭郡読谷村字古堅765-2,,26.367347,127.742795,17,,,47324,沖縄県,読谷村,,,,,1,,,,,,,,津波時指定避難ビル
34,34,読谷村運動広場,ヨミタンソンウンドウヒロバ,沖縄県中頭郡読谷村字座喜味2976,,26.398166,127.74338,72,098-982-9200,,47324,沖縄県,読谷村,,,,,,,,,,,,,広域避難場所
35,35,防災拠点広場（予定）,ボウサイキョテンヒロバ（ヨテイ）,沖縄県中頭郡読谷村,,26.396154,127.744423,,,,47324,沖縄県,読谷村,,,,,,,,,,,,,広域避難場所
36,36,長浜地区運動広場,ナガハマチクウンドウヒロバ,沖縄県中頭郡読谷村字長浜364,,26.418685,127.737056,32,,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定緊急避難場所
37,37,宇座東公園,ウザヒガシコウエン,沖縄県中頭郡読谷村字高志保1601,,26.411653,127.734844,84,,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定緊急避難場所
38,38,井之原公園,イノハラコウエン,沖縄県中頭郡読谷村字波平424-2,,26.402996,127.732634,73,,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定緊急避難場所
39,39,観音堂公園,カンノンドウコウエン,沖縄県中頭郡読谷村字喜名448-1,,26.399959,127.755519,72,,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定緊急避難場所
40,40,楚辺東公園,ソベヒガシコウエン,沖縄県中頭郡読谷村字楚辺1272‐5,,26.385836,127.736862,38,,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定緊急避難場所
41,41,セーラの森公園,セーラノモリコウエン,沖縄県中頭郡読谷村字座喜味1975,,26.395641,127.729218,29,,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定緊急避難場所
42,42,有限会社カデナ自動車学校,ユウゲンガイシャカデナジドウシャガッコウ,沖縄県中頭郡読谷村字楚辺1512,,26.38576,127.734869,29,098-956-2363,,47324,沖縄県,読谷村,,,,,,,,,,,,,指定緊急避難場所
1,1,松尾公園,マツオコウエン,沖縄県那覇市松尾2-16,,26.212593,127.68586,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
2,2,中央公園,チュウオウコウエン,沖縄県那覇市樋川1-15,,26.207264,127.687073,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
3,3,松山公園,マツヤマコウエン,沖縄県那覇市松山1-17,,26.2188,127.677094,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
4,4,緑ヶ丘公園,ミドリガオカコウエン,沖縄県那覇市牧志1-4,,26.217489,127.685966,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
5,5,天久ちゅらまち公園,アメクチュラマチコウエン,沖縄県那覇市天久1-3,,26.231743,127.688965,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
6,6,新都心公園,シントシンコウエン,沖縄県那覇市おもろまち3-2-1,,26.228434,127.695221,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
7,7,那覇国際高校（運動場）,ナハコクサイコウコウ（ウンドウジョウ）,沖縄県那覇市天久1-29,,26.231367,127.693581,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
8,8,那覇高校（運動場）,ナハコウコウ（ウンドウジョウ）,沖縄県那覇市松尾1-21-44,,26.211445,127.684448,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
9,9,与儀公園,ヨギコウエン,沖縄県那覇市寄宮1-1,,26.209337,127.692177,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
10,10,真嘉比西公園,マカビニシコウエン,沖縄県那覇市真嘉比2-7,,26.226191,127.701233,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
11,11,真嘉比南公園,マカビミナミコウエン,沖縄県那覇市真嘉比1-19,,26.222776,127.701782,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
12,12,真嘉比中央公園,マカビチュウオウコウエン,沖縄県那覇市真嘉比3-16-1,,26.223904,127.704559,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
13,13,興南学園（運動場）,コウナンガクエン（ウンドウジョウ）,沖縄県那覇市古島1-7-1,,26.228468,127.703644,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
14,14,沖縄工業高校（運動場）,オキナワコウギョウコウコウ（ウンドウジョウ）,沖縄県那覇市松川3-20-1,,26.215363,127.706802,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
15,15,真和志高校（運動場）,マワシコウコウ（ウンドウジョウ）,沖縄県那覇市真地248,,26.200521,127.721497,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
16,16,尚学学園（運動場）,ショウガクガクエン（ウンドウジョウ）,沖縄県那覇市国場747,,26.200539,127.699211,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
17,17,虎瀬公園,トラセコウエン,沖縄県那覇市首里赤平2-68,,26.223856,127.720963,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
18,18,末吉公園,スエヨシコウエン,沖縄県那覇市首里末吉町,,26.229061,127.708778,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
19,19,高前原公園,タカマエハラコウエン,沖縄県那覇市髙良2-5,,26.212296,127.679214,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
20,20,小禄金城公園,オロクカナグスクコウエン,沖縄県那覇市金城3-2-1,,26.199196,127.665703,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
21,21,田原公園,タバルコウエン,沖縄県那覇市田原3.-4-1,,26.196301,127.669373,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
22,22,那覇西高校（ウンドウジョウ）,ナハニシコウコウ（ウンドウジョウ）,沖縄県那覇市金城3-5-1,,26.200237,127.664215,,,,47201,沖縄県,那覇市,1,1,1,1,1,,,,0,,,,
1,1,馬天小学校,バテンショウガッコウ,沖縄県南城市佐敷津波古1800,,26.180487,127.767883,,(098)947-6535,,472158,沖縄県,南城市,1,1,,1,,,,,,"2,084",,,
2,2,佐敷小学校,サシキショウガッコウ,沖縄県南城市佐敷佐敷1193,,26.167746,127.784401,,(098)947-6212,,472158,沖縄県,南城市,1,1,,1,,,,,,"1,979",,,
3,3,佐敷中学校,サシキチュウガッコウ,沖縄県南城市佐敷兼久16-1,,26.172096,127.784798,,(098)947-6210,,472158,沖縄県,南城市,1,1,,1,1,,,,,"2,332",,,
4,4,老人福祉センター,ロウジンフクシセンター,沖縄県南城市佐敷新開1-240,,26.176064,127.774513,,(098)947-3030,,472158,沖縄県,南城市,,1,,,,,,,,443,,,
5,5,さしきスポレクセンター,サシキスポレクセンター,沖縄県南城市佐敷仲伊保390-2,,26.180113,127.793076,,(098)947-1303,,472158,沖縄県,南城市,,1,,1,,,,,,422,,,
6,6,南城市文化センター,ナンジョウシブンカセンター,沖縄県南城市佐敷佐敷307,,26.170223,127.787727,,(098)947-1100,,472158,沖縄県,南城市,1,1,,1,1,,,,,87,,,
7,7,新開スポーツ公園,シンカイスポーツコウエン,沖縄県南城市佐敷新開1-417,,26.176064,127.774513,,,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
8,8,屋比久児童公園,ヤビクジドウコウエン,沖縄県南城市佐敷屋比久67-1,,26.176439,127.802208,,(098)947-3986,,472158,沖縄県,南城市,1,1,,1,1,,,,,,,,
9,9,冨祖崎公園,フソザキコウエン,沖縄県南城市佐敷仲伊保390-2,,26.180113,127.793076,,(098)947-1303,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
10,10,津波古児童公園,ツハコジドウコウエン,沖縄県南城市佐敷津波古1415-2,,26.183477,127.771881,,,,472158,沖縄県,南城市,1,,,1,1,,,,,,,,
11,11,馬天児童公園,バテンジドウコウエン,沖縄県南城市佐敷津波古374,,26.182243,127.770821,,,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
12,12,新開公園,シンカイコウエン,沖縄県南城市佐敷新開1-237,,26.176064,127.774513,,,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
13,13,佐敷農村広場,サシキノウソンヒロバ,沖縄県南城市佐敷佐敷20-1,,26.165562,127.789841,,,,472158,沖縄県,南城市,1,,,1,,,,,,,,,
14,14,外間農村広場,ホカマノウソンヒロバ,沖縄県南城市佐敷屋比久159-1,,26.175234,127.79953,,,,472158,沖縄県,南城市,1,1,,1,1,,,,,,,,
15,15,小谷農村広場,コタニノウソンヒロバ,沖縄県南城市佐敷小谷1-1,,26.173203,127.76561,,(098)947-6550,,472158,沖縄県,南城市,1,,,1,1,,,,,,,,
16,16,新里農村広場,シンザトノウソンヒロバ,沖縄県南城市佐敷新里21-1,,26.167824,127.773163,,(098)947-3593,,472158,沖縄県,南城市,1,,,1,1,,,,,,,,
17,17,手登根農村広場,テドコンノウソンヒロバ,沖縄県南城市佐敷手登根1-1,,26.168901,127.804115,,,,472158,沖縄県,南城市,1,1,,1,1,,,,,,,,
18,18,伊原農村広場,イハラノウソンヒロバ,沖縄県南城市佐敷伊原409,,26.174879,127.80899,,,,472158,沖縄県,南城市,1,,,1,1,,,,,,,,
19,19,つきしろの宮,ツキシロノミヤ,沖縄県南城市佐敷佐敷1151,,26.165562,127.789841,,,,472158,沖縄県,南城市,1,,,1,1,,,,,,,,
20,20,南城市新開多目的広場,ナンジョウシシンカイタモクテキヒロバ,沖縄県南城市佐敷新開1-418,,26.176064,127.774513,,(098)947-6152,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
21,21,南城市営新開球場,ナンジョウシエイシンカイキュウジョウ,沖縄県南城市佐敷新開1-417,,26.176064,127.774513,,(098)947-6152,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
22,22,津波古公民館,ツハココウミンカン,沖縄県南城市佐敷津波古144,,26.182283,127.774033,,(098)947-6510,,472158,沖縄県,南城市,,,,1,,,,,,,,,
23,23,新開公民館,シンカイコウミンカン,沖縄県南城市佐敷新開1-70,,26.176064,127.774513,,(098)852-5950,,472158,沖縄県,南城市,,1,,,,,,,,,,,
24,24,県営団地自治会連絡事務所,ケンエイダンチジチカイレンラクジムショ,沖縄県南城市佐敷新開1-315,,26.176064,127.774513,,(098)947-1633,,472158,沖縄県,南城市,,1,,,,,,,,,,,
25,25,第2団地自治会連絡事務所,ダイニダンチジチカイレンラクジムショ,沖縄県南城市佐敷新開1-236,,26.176064,127.774513,,(098)947-2249,,472158,沖縄県,南城市,,1,,,,,,,,,,,
26,26,ひまわり児童館,ヒマワリジドウカン,沖縄県南城市佐敷新開1-73,,26.176064,127.774513,,(098)947-1655,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
27,27,佐敷公民館,サシキコウミンカン,沖縄県南城市佐敷佐敷420,,26.168001,127.790848,,(098)947-2923,,472158,沖縄県,南城市,,,,1,,,,,,,,,
28,28,佐敷幼稚園,サシキヨウチエン,沖縄県南城市佐敷佐敷1246-2,,26.165562,127.789841,,(098)947-1875,,472158,沖縄県,南城市,1,,,,1,,,,,,,,
29,29,屋比久公民館,ヤビクコウミンカン,沖縄県南城市佐敷屋比久14,,26.175583,127.802666,,(098)947-3936,,472158,沖縄県,南城市,1,1,,1,1,,,,,,,,
30,30,仲伊保団地集会場,ナカイホダンチシュウカイジョ,沖縄県南城市佐敷仲伊保488-1,,26.180904,127.799767,,(098)852-5988,,472158,沖縄県,南城市,1,1,,1,1,,,,,,,,
31,31,仲伊保公民館,ナカイホコウミンカン,沖縄県南城市佐敷仲伊保388-2,,26.180738,127.794189,,(098)947-2714,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
32,32,小谷構造改善センター,コタニコウゾウカイゼンセンター,沖縄県南城市佐敷小谷46,,26.174168,127.764992,,(098)947-6550,,472158,沖縄県,南城市,1,,,1,1,,,,,,,,
33,33,新里公民館,シンザトコウミンカン,沖縄県南城市佐敷新里677-2,,26.170485,127.772606,,(098)947-3593,,472158,沖縄県,南城市,1,1,,1,1,,,,,,,,
34,34,手登根公民館,テドコンコウミンカン,沖縄県南城市佐敷手登根52,,26.171114,127.801277,,,,472158,沖縄県,南城市,1,1,,1,1,,,,,,,,
35,35,伊原公民館,イハラコウミンカン,沖縄県南城市佐敷伊原287,,26.174311,127.807076,,,,472158,沖縄県,南城市,1,1,,,1,,,,,,,,
36,36,冨祖崎公民館,フソザキコウミンカン,沖縄県南城市佐敷冨祖崎385-1,,26.174095,127.791481,,,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
37,37,兼久構造改善センター,カネクコウゾウカイゼンセンター,沖縄県南城市佐敷兼久37-1,,26.171738,127.781563,,(098)947-2766,,472158,沖縄県,南城市,,1,,,,,,,,,,,
38,38,外間公民館,ホカマコウミンカン,沖縄県南城市佐敷屋比久189,,26.177509,127.798035,,,,472158,沖縄県,南城市,,1,,,,,,,,,,,
39,39,佐敷農村婦人の家,サシキノウソンフジンノイエ,沖縄県南城市佐敷新開1-419,,26.176064,127.774513,,(098)947-6624,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
40,40,南城市佐敷農産物直売所,ナンジョウシサシキノウサンブツチョクバイジョ,沖縄県南城市佐敷新開1-240,,26.176064,127.774513,,(098)947-1811,,472158,沖縄県,南城市,,1,,1,,,,,,,,,
41,41,知念小学校,チネンショウガッコウ,沖縄県南城市知念久手堅679,,26.172468,127.818047,,(098)948-1302,,472158,沖縄県,南城市,1,1,,1,1,,,,1,"1,994",,,
42,42,知念中学校,チネンチュウガッコウ,沖縄県南城市知念久手堅700,,26.172468,127.818047,,(098)948-1303,,472158,沖縄県,南城市,1,1,,1,1,,,,1,"1,696",,,
43,43,久高小中学校,クダカショウチュウガッコウ,沖縄県南城市知念久高46,,26.161999,127.893967,,(098)948-3515,,472158,沖縄県,南城市,1,1,,1,,,,,,"1,039",,,
44,44,知念体育館,チネンタイイクカン,沖縄県南城市知念久手堅532,,26.167902,127.827141,,(098)852-6887,,472158,沖縄県,南城市,1,1,,1,1,,,,1,678,,,
45,45,南城市知念児童館,ナンジョウシチネンジドウカン,沖縄県南城市知念久手堅22,,26.169886,127.821266,,,,472158,沖縄県,南城市,1,1,,1,1,,,,1,125,,,
46,46,南城市知念社会福祉センター,ナンジョウシチネンシャカイフクシセンター,沖縄県南城市知念久手堅453,,26.167902,127.827141,,(098)949-7650,,472158,沖縄県,南城市,1,1,,1,1,,,,1,458,,,
47,47,久高島離島復興総合センター,クダカジマリトウフッコウソウゴウセンター,沖縄県南城市知念久高231-2,,26.161999,127.893967,,(098)948-7803,,472158,沖縄県,南城市,,1,,1,,,,,,103,,,
